solo_time,time,duration_time,task-clock,context-switches,cpu-cycles,instructions,page-faults,branch-misses,L1-dcache-load-misses,LLC-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,benchmark,socket,core_list
852.925,0.05013486,50134860.0,2194.22,493.0,921019036.0,1112053199.0,13549.0,441850.0,1948889.0,49058.0,370000.0,323885.0,105982.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,0.10745401,57319150.0,2799.26,424.0,1776740745.0,2760866885.0,2131.0,9275750.0,3307473.0,155827.0,251998.0,219865.0,67404.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,0.179327845,71873835.0,2333.96,354.0,1593919344.0,2630600126.0,1032.0,9522389.0,3019142.0,303972.0,245154.0,177425.0,48099.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,0.235118345,55790500.0,2187.91,358.0,1455189513.0,2340570120.0,1044.0,9258371.0,2703435.0,221127.0,328189.0,154725.0,51789.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,0.28897613,53857785.0,2155.54,371.0,1417982326.0,2333018629.0,1047.0,9273585.0,2641599.0,216118.0,194476.0,126543.0,31164.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,0.34279369,53817560.0,2156.69,319.0,1407523494.0,2336704922.0,1061.0,9516574.0,2690960.0,213248.0,224185.0,129739.0,36622.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,0.396851888,54058198.0,2164.99,369.0,1418324524.0,2327990089.0,1035.0,9711612.0,2624118.0,218381.0,242839.0,127183.0,35281.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,0.451049613,54197725.0,2170.32,381.0,1423735632.0,2327331417.0,1025.0,9938338.0,2646948.0,216276.0,243725.0,141416.0,41192.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,0.505283241,54233628.0,2164.57,371.0,1421866807.0,2342244003.0,1940.0,10210922.0,2941915.0,217413.0,228374.0,131884.0,36151.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,0.559358823,54075582.0,2158.58,346.0,1416542167.0,2318894442.0,1022.0,10152733.0,2644759.0,230401.0,253604.0,135908.0,38509.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,0.613187936,53829113.0,2147.7,326.0,1408861193.0,2311435874.0,1022.0,10201929.0,2622260.0,218030.0,213723.0,128600.0,36744.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,0.666803023,53615087.0,2122.12,327.0,1400704837.0,2310531732.0,1022.0,10214171.0,2617903.0,218479.0,252108.0,131525.0,38356.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,0.719352248,52549225.0,2140.56,346.0,1381438897.0,2304409201.0,1022.0,10251218.0,2619598.0,219115.0,234686.0,129113.0,35959.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,0.77368543,54333182.0,2151.47,343.0,1422122586.0,2304864781.0,1023.0,10286077.0,2631155.0,217570.0,256976.0,131527.0,42068.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,0.826996899,53311469.0,2131.96,390.0,1400514926.0,2299085323.0,1023.0,10284787.0,2606415.0,274780.0,788537.0,179045.0,103382.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,0.880251437,53254538.0,2130.56,342.0,1395099062.0,2299017671.0,1022.0,10402110.0,2658649.0,227242.0,431782.0,165763.0,47247.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,0.933523305,53271868.0,2128.4,372.0,1397296571.0,2296316367.0,1022.0,10302617.0,2582357.0,219376.0,265436.0,122423.0,33493.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,0.986719124,53195819.0,2127.13,323.0,1391465042.0,2287534952.0,1022.0,10336850.0,2663369.0,214980.0,222457.0,120759.0,36761.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,1.039877015,53157891.0,2209.19,381.0,1404016878.0,2284584425.0,11401.0,10361999.0,2766869.0,255450.0,246459.0,207148.0,74800.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,1.096782722,56905707.0,2202.95,436.0,1486117258.0,2330799211.0,3759.0,10351239.0,2752263.0,146920.0,274460.0,143133.0,52732.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,1.150371082,53588360.0,2134.83,397.0,1407775624.0,2397088763.0,1022.0,10368867.0,2642837.0,282845.0,232870.0,142232.0,41231.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,1.203517326,53146244.0,2459.29,348.0,1442466953.0,2294678131.0,1022.0,10347303.0,2633863.0,259267.0,291747.0,166281.0,53688.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,1.271386636,67869310.0,3507.49,469.0,2391256728.0,2293187761.0,1023.0,10369139.0,2662894.0,226723.0,225635.0,150433.0,43893.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,1.355366473,83979837.0,2385.48,351.0,1548617890.0,2295078405.0,1022.0,10358112.0,2644435.0,310980.0,331314.0,162193.0,51072.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,1.415464275,60097802.0,2249.55,379.0,1554934040.0,2292817345.0,1048.0,10395263.0,2693884.0,286175.0,239393.0,150507.0,45785.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,1.468556669,53092394.0,2125.92,360.0,1394845628.0,2296195226.0,1024.0,10354866.0,2617093.0,252545.0,228479.0,157122.0,48213.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,1.521702238,53145569.0,2597.05,360.0,1472301917.0,2290898968.0,1025.0,10352675.0,2627246.0,221164.0,250527.0,159765.0,50790.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,1.595260426,73558188.0,3533.07,481.0,2422257882.0,2294099618.0,1023.0,10361402.0,2659545.0,221839.0,259994.0,132245.0,42329.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,1.679369884,84109458.0,2328.1,387.0,1626438861.0,2293025389.0,1022.0,10373954.0,2667900.0,217708.0,195399.0,127663.0,38964.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,1.733774551,54404667.0,2150.33,338.0,1423687110.0,2293235806.0,1023.0,10337894.0,2605988.0,230683.0,276079.0,135396.0,45115.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,1.786910484,53135933.0,2123.61,337.0,1392443198.0,2291224731.0,1024.0,10367376.0,2655256.0,374461.0,369192.0,185161.0,57174.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,1.839967927,53057443.0,2445.92,357.0,1438992475.0,2293088229.0,1022.0,10329895.0,2606050.0,251807.0,242825.0,168017.0,54307.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,1.907357139,67389212.0,3507.97,473.0,2390055894.0,2290687919.0,1022.0,10334924.0,2613860.0,220999.0,524541.0,197200.0,63830.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,1.991366329,84009190.0,2380.29,366.0,1543722722.0,2295211333.0,1023.0,10332918.0,2638446.0,218828.0,308999.0,132061.0,40650.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,2.0514418,60075471.0,2262.12,369.0,1553529736.0,2291348116.0,1023.0,10335309.0,2632481.0,218000.0,170913.0,115416.0,28565.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,2.105230576,53788776.0,2139.12,358.0,1411348267.0,2293437404.0,1023.0,10341307.0,2636499.0,215320.0,220427.0,118867.0,34042.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,2.158401718,53171142.0,2581.89,376.0,1470121891.0,2294292043.0,1028.0,10366087.0,2669832.0,224378.0,214523.0,126221.0,36115.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,2.23133538,72933662.0,3532.41,487.0,2424882934.0,2291437790.0,1023.0,10330154.0,2625533.0,218250.0,227472.0,146699.0,47940.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
852.925,2.315348417,84013037.0,2331.68,371.0,1609086792.0,2293292446.0,1024.0,10366280.0,2684710.0,222811.0,256383.0,131991.0,43695.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
