solo_time,time,duration_time,task-clock,context-switches,cpu-cycles,instructions,page-faults,branch-misses,L1-dcache-load-misses,LLC-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,benchmark,socket,core_list
640.251,0.050048504,50048504.0,2265.22,606.0,925606011.0,1123709697.0,13538.0,433935.0,1941332.0,53480.0,385756.0,326275.0,119095.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,0.109549468,59500964.0,2888.94,438.0,1895550353.0,2833533686.0,1758.0,9354447.0,3197549.0,192455.0,274673.0,218216.0,54736.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,0.181429286,71879818.0,2370.44,324.0,1537710437.0,2532196821.0,1401.0,9381630.0,3158410.0,294125.0,267464.0,166632.0,45198.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,0.241093791,59664505.0,2254.36,387.0,1551028073.0,2433135551.0,1101.0,9278197.0,2726961.0,232189.0,327470.0,155936.0,41750.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,0.294793971,53700180.0,2150.05,344.0,1406355285.0,2344999604.0,1024.0,9259526.0,2617647.0,225732.0,236963.0,127207.0,32696.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,0.348579238,53785267.0,2156.76,371.0,1416050756.0,2334908741.0,1023.0,9476873.0,2634580.0,224128.0,261055.0,132259.0,37727.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,0.402616441,54037203.0,2161.86,312.0,1412688666.0,2335893875.0,1043.0,9720805.0,2645932.0,251358.0,386275.0,135424.0,38343.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,0.456667344,54050903.0,2161.44,333.0,1415609780.0,2337882752.0,1065.0,9941629.0,2697412.0,235571.0,255467.0,129396.0,35050.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,0.510698186,54030842.0,2157.74,335.0,1415926662.0,2349259424.0,1024.0,10045537.0,2608105.0,244572.0,327431.0,131336.0,35128.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,0.564576891,53878705.0,2152.94,371.0,1417363301.0,2307194279.0,1026.0,10138691.0,2636052.0,240689.0,269786.0,132421.0,39493.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,0.618340932,53764041.0,2151.85,327.0,1407242364.0,2314273546.0,1064.0,10204328.0,2660721.0,236900.0,269876.0,128562.0,36120.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,0.672168857,53827925.0,2147.22,351.0,1411583849.0,2320172207.0,1027.0,10224532.0,2632500.0,226387.0,250187.0,128256.0,34291.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,0.725721374,53552517.0,2143.42,323.0,1403286556.0,2303120672.0,1062.0,10266197.0,2666836.0,234129.0,293896.0,129696.0,32291.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,0.779331063,53609689.0,2157.86,380.0,1411738388.0,2302817033.0,1028.0,10295516.0,2668866.0,225215.0,238168.0,127006.0,37761.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,0.833766819,54435756.0,3113.05,407.0,1673749324.0,2299230650.0,1062.0,10306709.0,2656478.0,233247.0,262974.0,126277.0,32358.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,0.925405809,91638990.0,2965.45,410.0,2305190451.0,2294433225.0,1025.0,10287731.0,2619682.0,225722.0,241135.0,126600.0,35313.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,0.985396989,59991180.0,2125.12,469.0,1498261305.0,2292815428.0,1028.0,10313157.0,2635961.0,233698.0,281966.0,127746.0,31577.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,1.037695303,52298314.0,2091.42,430.0,1384072307.0,2294808752.0,1093.0,10327461.0,2700127.0,250379.0,337566.0,145545.0,42460.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,1.090043019,52347716.0,2094.26,344.0,1372590050.0,2277979037.0,12321.0,10341110.0,2873031.0,282921.0,324495.0,224687.0,51150.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,1.142425032,52382013.0,2095.41,342.0,1372244248.0,2421706925.0,2895.0,10356379.0,2710737.0,242738.0,341390.0,170465.0,48078.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,1.194817792,52392760.0,2298.13,357.0,1446577618.0,2307526876.0,1060.0,10342291.0,2660963.0,236291.0,255476.0,126386.0,32393.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,1.254616499,59798707.0,2258.72,353.0,1525539822.0,3246995893.0,1032.0,15173628.0,3501028.0,233873.0,299274.0,137515.0,37867.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,1.3094101,54793601.0,2294.03,345.0,1435461853.0,3390793067.0,2080.0,15749894.0,4131688.0,232438.0,278179.0,126014.0,35017.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,1.369448881,60038781.0,2268.44,397.0,1557671580.0,4065224234.0,2050.0,18054629.0,4852905.0,226211.0,230658.0,124519.0,33954.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,1.423603285,54154404.0,2146.44,325.0,1415607661.0,3056825663.0,1063.0,13037568.0,3266385.0,226786.0,251691.0,125922.0,31553.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,1.476872008,53268723.0,2132.19,376.0,1403266516.0,2291197393.0,1024.0,10338080.0,2616416.0,234395.0,298400.0,127212.0,31360.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,1.530172678,53300670.0,2132.3,362.0,1398864010.0,2290517077.0,1027.0,10347025.0,2627483.0,226373.0,249742.0,126917.0,33998.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,1.583512869,53340191.0,2133.86,381.0,1403416284.0,2278196820.0,1063.0,10349602.0,2700481.0,234147.0,292420.0,125950.0,34883.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,1.636871142,53358273.0,2133.21,337.0,1400332045.0,2314504427.0,1026.0,10354523.0,2660194.0,225647.0,245339.0,127249.0,33703.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,1.690184902,53313760.0,2132.51,389.0,1403261372.0,2295385569.0,1066.0,10357663.0,2673469.0,233993.0,279930.0,128763.0,33956.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,1.743488271,53303369.0,2131.87,305.0,1395087174.0,2298252659.0,1026.0,10345361.0,2652465.0,226913.0,234845.0,126083.0,32124.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,1.796786265,53297994.0,2135.13,405.0,1402883319.0,2294609566.0,1058.0,10345462.0,2704071.0,234940.0,296084.0,129298.0,36397.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,1.850162091,53375826.0,2139.24,342.0,1401194827.0,2307281781.0,1088.0,10343210.0,2671942.0,226351.0,239650.0,125451.0,32377.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,1.903797834,53635743.0,2139.66,351.0,1405332570.0,2390802212.0,3341.0,10728471.0,3921443.0,233566.0,264523.0,127683.0,32910.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,1.957162535,53364701.0,2134.73,360.0,1400764396.0,2313642697.0,1025.0,10367071.0,2696950.0,224801.0,253124.0,126249.0,31394.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,2.010455606,53293071.0,2110.42,477.0,1430301326.0,2287606978.0,1065.0,10339215.0,2637361.0,233537.0,296318.0,129950.0,35223.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
640.251,2.062808774,52353168.0,2093.14,408.0,1379580065.0,2295659621.0,1025.0,10322668.0,2650009.0,240072.0,235529.0,126797.0,32083.0,CoMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
