solo_time,time,duration_time,task-clock,context-switches,cpu-cycles,instructions,page-faults,branch-misses,L1-dcache-load-misses,LLC-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,benchmark,socket,core_list
14.287,0.050135265,50135265.0,2273.02,398.0,148076104.0,96252962.0,21509.0,212705.0,1859468.0,46585.0,307381.0,132644.0,87434.0,Quicksilver,0,"0,2,4,6,8,10,12,14,16,18"
14.287,0.108112992,57977727.0,2389.92,278.0,192974486.0,106569510.0,27079.0,115110.0,2095412.0,113951.0,580782.0,215954.0,142733.0,Quicksilver,0,"0,2,4,6,8,10,12,14,16,18"
14.287,0.168010826,59897834.0,2399.32,242.0,191129513.0,110880813.0,28077.0,96571.0,2147799.0,57179.0,475689.0,205795.0,140600.0,Quicksilver,0,"0,2,4,6,8,10,12,14,16,18"
14.287,0.227949805,59938979.0,2399.96,303.0,194221047.0,273699428.0,5102.0,1222973.0,2110307.0,25378.0,241830.0,121577.0,48163.0,Quicksilver,0,"0,2,4,6,8,10,12,14,16,18"
14.287,0.287919968,59970163.0,3932.72,457.0,1203328795.0,2246479205.0,18.0,3601102.0,9578514.0,809694.0,281951.0,82927.0,14648.0,Quicksilver,0,"0,2,4,6,8,10,12,14,16,18"
14.287,0.393900969,105981001.0,4581.06,619.0,2477138166.0,5164663097.0,0.0,6966843.0,12284563.0,102387.0,413925.0,60432.0,20540.0,Quicksilver,0,"0,2,4,6,8,10,12,14,16,18"
14.287,0.520606463,126705494.0,4625.61,527.0,3277625818.0,5774139327.0,2.0,7587595.0,16913669.0,99032.0,321657.0,42711.0,12909.0,Quicksilver,0,"0,2,4,6,8,10,12,14,16,18"
14.287,0.62506646,104459997.0,3390.23,463.0,2362068812.0,4487387375.0,2.0,7466731.0,23104931.0,165329.0,281425.0,73152.0,12019.0,Quicksilver,0,"0,2,4,6,8,10,12,14,16,18"
14.287,0.701845855,76779395.0,2354.35,277.0,267983833.0,453361152.0,5.0,1196283.0,3427895.0,33058.0,187856.0,44329.0,15745.0,Quicksilver,0,"0,2,4,6,8,10,12,14,16,18"
14.287,0.759775308,57929453.0,4250.57,451.0,1492060578.0,2294163670.0,3323.0,3962600.0,11538957.0,919313.0,272416.0,95276.0,14752.0,Quicksilver,0,"0,2,4,6,8,10,12,14,16,18"
14.287,0.882541183,122765875.0,5161.7,663.0,3201143096.0,5681743106.0,0.0,8536191.0,16969665.0,119253.0,375365.0,64848.0,15926.0,Quicksilver,0,"0,2,4,6,8,10,12,14,16,18"
14.287,1.014300681,131759498.0,6037.4,739.0,3625305075.0,7253684204.0,3991.0,10140125.0,23392664.0,185305.0,346477.0,83072.0,15021.0,Quicksilver,0,"0,2,4,6,8,10,12,14,16,18"
14.287,1.170290591,155989910.0,3270.6,433.0,1598439789.0,3218327723.0,37.0,5987120.0,16806532.0,212121.0,319311.0,143248.0,19621.0,Quicksilver,0,"0,2,4,6,8,10,12,14,16,18"
