solo_time,time,duration_time,task-clock,context-switches,cpu-cycles,instructions,page-faults,branch-misses,L1-dcache-load-misses,LLC-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,benchmark,socket,core_list
35.762,0.0501337,50133700.0,2182.62,501.0,951776712.0,965355576.0,12960.0,324695.0,1286188.0,48272.0,372447.0,376238.0,114583.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,0.106480225,56346525.0,5446.9,538.0,3034429415.0,1517449736.0,18680.0,286211.0,1507732.0,47193.0,160404.0,523013.0,151113.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,0.262692033,156211808.0,3137.68,277.0,1203515426.0,1603705320.0,15881.0,736124.0,1970615.0,41879.0,183154.0,540663.0,165442.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,0.322686634,59994601.0,2400.84,213.0,188011930.0,1098949670.0,0.0,2745407.0,4157857.0,33201.0,121760.0,288207.0,96428.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,0.38281772,60131086.0,2403.94,253.0,192414722.0,175327440.0,0.0,2841080.0,4437937.0,29063.0,191108.0,26181.0,11970.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,0.442809077,59991357.0,2399.09,211.0,186563848.0,172504522.0,0.0,2788637.0,4419530.0,27949.0,99312.0,15074.0,4048.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,0.502828034,60018957.0,2399.25,271.0,192666311.0,176382180.0,2.0,2844180.0,4494787.0,27748.0,184765.0,26180.0,12812.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,0.562815419,59987385.0,2448.63,253.0,218576815.0,172536050.0,0.0,2789223.0,4392674.0,27454.0,114982.0,16910.0,4790.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,0.622787922,59972503.0,2350.95,398.0,251276378.0,174929939.0,1.0,2823444.0,4476920.0,30722.0,191688.0,26489.0,11979.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,0.68281291,60024988.0,2400.63,263.0,192111608.0,171632891.0,0.0,2788169.0,4363135.0,26520.0,100422.0,15469.0,4466.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,0.742817019,60004109.0,2400.13,254.0,191996650.0,174697260.0,0.0,2829543.0,4460461.0,28237.0,174615.0,26803.0,12074.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,0.802855174,60038155.0,2401.64,280.0,192726095.0,172518156.0,0.0,2801517.0,4372985.0,27164.0,100372.0,15491.0,4356.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,0.862867971,60012797.0,2398.1,251.0,191645656.0,134982914.0,5743.0,1782712.0,6181122.0,906629.0,231063.0,126220.0,27385.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,0.922766492,59898521.0,2399.53,213.0,187020364.0,283189023.0,3079.0,1929923.0,3706319.0,331353.0,116087.0,57117.0,11368.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,0.982785016,60018524.0,2400.13,252.0,192845809.0,299845480.0,981.0,2457299.0,2896398.0,25946.0,116478.0,27859.0,8061.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,1.042830825,60045809.0,2401.84,192.0,186168157.0,262223768.0,456.0,2975202.0,2773655.0,30177.0,187817.0,36140.0,13089.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,1.102801922,59971097.0,2397.69,282.0,193337579.0,290877935.0,2157.0,2170935.0,2921304.0,40922.0,102051.0,28382.0,7408.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,1.162785798,59983876.0,2402.44,216.0,188128603.0,282754374.0,4005.0,2441196.0,2842960.0,22457.0,180096.0,27369.0,11534.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,1.222893249,60107451.0,2400.38,262.0,192478888.0,281508129.0,1230.0,2715100.0,2969090.0,28475.0,121143.0,26981.0,5549.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,1.282860505,59967256.0,2399.86,214.0,187547635.0,165184878.0,9787.0,2950951.0,2430149.0,172275.0,167763.0,103533.0,28810.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,1.342883705,60023200.0,2399.18,312.0,193814524.0,264072954.0,21138.0,224172.0,1896333.0,90308.0,104143.0,180482.0,46249.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,1.402843966,59960261.0,2400.99,191.0,186861150.0,262200875.0,21661.0,202287.0,1819499.0,92637.0,186588.0,192540.0,55367.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,1.462911439,60067473.0,2399.77,271.0,192177135.0,264188483.0,21557.0,231001.0,1861970.0,91952.0,116595.0,177799.0,46679.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,1.522845988,59934549.0,2400.65,224.0,188214255.0,261504519.0,21571.0,188189.0,1785425.0,91897.0,184432.0,188004.0,54365.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,1.582879408,60033420.0,2401.05,244.0,192112868.0,264739994.0,21557.0,242085.0,1874601.0,86905.0,115800.0,169093.0,44398.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,1.642905966,60026558.0,2399.5,355.0,214682831.0,261770874.0,21530.0,204042.0,1813290.0,159743.0,764582.0,284525.0,94386.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
35.762,1.702871197,59965231.0,2399.1,275.0,195403133.0,264429886.0,21513.0,230873.0,1879763.0,94675.0,214294.0,194347.0,50426.0,XSBench,0,"0,2,4,6,8,10,12,14,16,18"
