solo_time,time,duration_time,task-clock,context-switches,cpu-cycles,instructions,page-faults,branch-misses,L1-dcache-load-misses,LLC-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,benchmark,socket,core_list
35.918,0.050123769,50123769.0,2217.96,459.0,988987641.0,992402217.0,12991.0,416390.0,1381307.0,46676.0,399801.0,342508.0,117984.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
35.918,0.108385652,58261883.0,2366.48,341.0,1527112340.0,1484861845.0,18320.0,280172.0,1516960.0,57976.0,153925.0,452238.0,150782.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
35.918,0.168184001,59798349.0,2395.62,332.0,1561724498.0,2520079834.0,16391.0,2147496.0,4259539.0,58872.0,194336.0,490945.0,165613.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
35.918,0.228169937,59985936.0,2406.0,257.0,1041097546.0,385559511.0,400.0,2862602.0,4490150.0,32090.0,99588.0,288370.0,87485.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
35.918,0.288570106,60400169.0,2408.5,246.0,193627153.0,173056357.0,7.0,2799294.0,4434211.0,28219.0,156311.0,23004.0,10087.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
35.918,0.348640848,60070742.0,2403.52,188.0,186367193.0,177565048.0,917.0,2846109.0,4518811.0,28546.0,95152.0,14513.0,3811.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
35.918,0.408638328,59997480.0,2400.27,258.0,192085509.0,172764192.0,0.0,2805002.0,4416315.0,34653.0,175207.0,27079.0,11456.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
35.918,0.468647539,60009211.0,2400.02,189.0,185888830.0,174998624.0,1.0,2837448.0,4427777.0,26746.0,87903.0,13899.0,3466.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
35.918,0.528643678,59996139.0,2400.22,237.0,190890961.0,173214016.0,0.0,2808884.0,4435920.0,27505.0,161725.0,23287.0,10109.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
35.918,0.588674964,60031286.0,2400.16,232.0,188164367.0,176413634.0,40.0,2833993.0,4513082.0,27588.0,117825.0,17074.0,4989.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
35.918,0.648639641,59964677.0,2399.57,242.0,191169397.0,173133765.0,0.0,2803826.0,4409994.0,26966.0,147235.0,22310.0,9441.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
35.918,0.708659155,60019514.0,2400.56,218.0,187822951.0,176626838.0,5.0,2831444.0,4480439.0,27487.0,99165.0,15041.0,4021.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
35.918,0.768643308,59984153.0,2402.24,288.0,195338005.0,190111348.0,8349.0,979695.0,5969431.0,929745.0,210344.0,106675.0,24536.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
35.918,0.828758831,60115523.0,2399.78,242.0,189784066.0,281148917.0,1480.0,2594110.0,2884313.0,350254.0,140375.0,52601.0,13513.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
35.918,0.888685935,59927104.0,2398.43,242.0,191486253.0,323920281.0,0.0,2276479.0,2901628.0,29102.0,152618.0,29402.0,11693.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
35.918,0.948652958,59967023.0,2398.25,214.0,193137583.0,249730447.0,2030.0,2878920.0,2859888.0,29169.0,108561.0,24441.0,4693.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
35.918,1.008613693,59960735.0,2399.6,411.0,299013839.0,290204664.0,0.0,2644496.0,2899958.0,160866.0,159573.0,41837.0,16524.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
35.918,1.068663067,60049374.0,2400.13,241.0,191498210.0,322040017.0,41.0,2364428.0,2954491.0,29747.0,83832.0,40998.0,25157.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
35.918,1.12858412,59921053.0,2400.47,228.0,190023482.0,179781400.0,2912.0,3622322.0,2412467.0,28446.0,156230.0,40859.0,25951.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
35.918,1.188671531,60087411.0,2402.91,208.0,187951203.0,247172465.0,18310.0,465909.0,2425168.0,138000.0,91368.0,80838.0,21383.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
35.918,1.24871865,60047119.0,2400.7,237.0,190868785.0,257996099.0,20746.0,184535.0,1880283.0,157478.0,227171.0,140116.0,59671.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
35.918,1.308731896,60013246.0,2400.7,196.0,186585905.0,265175814.0,21065.0,225459.0,1925209.0,107080.0,128571.0,120071.0,46839.0,XSBench_custom1,0,"0,2,4,6,8,10,12,14,16,18"
