time,context-switches,cpu-cycles,duration_time,task-clock,L1-dcache-load-misses,branch-misses,instructions,page-faults,L1-icache-load-misses,LLC-load-misses,dTLB-load-misses,iTLB-load-misses,benchmark,socket,core_list
50,471.0,482272989.0,50124196.0,2337.59,1744161.0,344336.0,890635517.0,13631.0,349087.0,62795.0,211159.0,123880.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
114,409.0,2159754664.0,63893001.0,3780.87,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
209,475.0,1770912561.0,95113140.0,2952.23,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
281,332.0,1589344922.0,72340645.0,2505.95,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
341,344.0,1502378068.0,60061727.0,2352.69,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
401,351.0,1544075516.0,59893011.0,2336.91,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
459,384.0,1519413424.0,58025234.0,2275.48,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
515,359.0,1464878736.0,55924033.0,2196.95,,,,,304588.0,219986.0,111241.0,45451.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
569,420.0,1440059599.0,54042835.0,2236.42,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
626,479.0,1528472876.0,57471829.0,2259.37,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
682,330.0,1456447161.0,55595879.0,2215.09,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
738,392.0,1467582395.0,55868449.0,2224.46,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
793,351.0,1439706735.0,54819161.0,2200.74,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
848,341.0,1447472257.0,55197045.0,2205.34,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
903,421.0,1449004316.0,55049195.0,2205.43,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
958,395.0,1512773612.0,55203777.0,2267.49,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1019,483.0,1618632626.0,60854172.0,2312.84,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1071,390.0,1381881834.0,52364641.0,2094.53,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1124,355.0,1407939285.0,52401123.0,2098.0,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1176,352.0,1376293188.0,52451028.0,2099.02,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1229,364.0,1442815069.0,52568482.0,2222.0,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1285,356.0,1455820379.0,56013026.0,2211.3,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1340,331.0,1449641990.0,55101394.0,2248.34,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1397,370.0,1467242383.0,57056622.0,2317.54,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1457,396.0,1559117663.0,59974210.0,2320.95,,,,,240547.0,222147.0,96942.0,36837.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1514,370.0,1481043600.0,56688543.0,2218.32,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1568,321.0,1427439539.0,54487185.0,2179.82,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1623,381.0,1433383963.0,54476718.0,2180.64,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1677,336.0,1429375361.0,54526783.0,2180.54,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1732,460.0,1439479261.0,54542084.0,2180.98,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1786,355.0,1430253147.0,54509353.0,2180.88,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1841,466.0,1440875352.0,54529700.0,2183.59,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1895,376.0,1430923806.0,54609070.0,2164.01,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1949,711.0,2770038014.0,53661604.0,5207.91,,,,,196993.0,216248.0,90447.0,29769.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2105,528.0,2820528969.0,155989244.0,3352.3,2606556.0,10618482.0,2314618819.0,1024.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2165,368.0,1525497193.0,60081374.0,2323.11,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2223,371.0,1511598275.0,57965189.0,2243.82,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2278,322.0,1428316710.0,54572857.0,2182.26,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2332,346.0,1429441344.0,54572969.0,2182.37,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2387,346.0,1430811034.0,54513901.0,2178.15,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2441,359.0,1428335870.0,54399084.0,2185.83,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2496,343.0,1453585131.0,55114274.0,2189.09,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2550,340.0,1423691975.0,54187780.0,2178.36,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2605,351.0,1438542546.0,54929296.0,2189.7,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2660,349.0,1424624913.0,54271200.0,2177.96,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2714,348.0,1431499786.0,54625993.0,2184.31,,,,,361979.0,417208.0,146858.0,42672.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2769,347.0,1433139891.0,54587296.0,2184.83,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2823,346.0,1432689929.0,54638832.0,2184.98,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2878,344.0,1432205277.0,54606875.0,2185.11,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2933,364.0,1434674233.0,54668728.0,2185.08,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2987,329.0,1427417228.0,54577922.0,2164.2,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
3015,286.0,623180031.0,28044758.0,1108.65,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
111,,,,,2898564.0,10240602.0,2676902804.0,1140.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
171,,,,,2667884.0,10239688.0,2394254573.0,1039.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
227,,,,,2658994.0,10161558.0,2367656266.0,1069.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
284,,,,,2578912.0,10147760.0,2361402494.0,1023.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
