solo_time,time,duration_time,task-clock,context-switches,cpu-cycles,instructions,page-faults,branch-misses,L1-dcache-load-misses,LLC-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,benchmark,socket,core_list
577.075,0.050134641,50134641.0,4398.07,576.0,1919475315.0,950307913.0,14804.0,327426.0,1784730.0,46413.0,344462.0,347719.0,113449.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,0.179671636,129536995.0,3037.71,411.0,2396323134.0,1618432395.0,21716.0,310519.0,2309928.0,45349.0,194981.0,528832.0,167982.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,0.2395572,59885564.0,2406.19,280.0,820770796.0,1656656723.0,22291.0,334439.0,2432738.0,44126.0,197584.0,537225.0,176216.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,0.299979227,60422027.0,2409.55,406.0,281663790.0,1142262531.0,23365.0,226253.0,2457380.0,40582.0,132704.0,385943.0,124069.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,0.360108626,60129399.0,2402.99,276.0,195381583.0,307840262.0,25783.0,396691.0,3607111.0,109490.0,682514.0,211096.0,91361.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,0.420091366,59982740.0,2399.76,258.0,191789566.0,240421133.0,25117.0,249994.0,2831264.0,43587.0,344670.0,176818.0,65714.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,0.480106937,60015571.0,2401.06,223.0,189202539.0,229249488.0,24537.0,135430.0,2617828.0,40181.0,199237.0,149130.0,62343.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,0.540102877,59995940.0,2399.73,250.0,191738361.0,228134551.0,24710.0,99682.0,2583297.0,37556.0,110096.0,134362.0,53867.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,0.600120811,60017934.0,2400.89,227.0,188344218.0,231336213.0,24781.0,135173.0,2643507.0,39183.0,175061.0,143100.0,60688.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,0.660129089,60008278.0,2399.86,264.0,193287848.0,228153674.0,24754.0,89697.0,2563510.0,38311.0,106311.0,134429.0,53681.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,0.720131621,60002532.0,2399.43,225.0,188345323.0,231653389.0,24834.0,128131.0,2628715.0,37094.0,196895.0,148210.0,61562.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,0.780091617,59959996.0,2399.25,260.0,192399143.0,228858123.0,24827.0,91179.0,2560215.0,37500.0,127989.0,133575.0,54328.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,0.840122581,60030964.0,2401.21,213.0,187550179.0,232010951.0,24856.0,131572.0,2635417.0,39957.0,188018.0,144494.0,62322.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,0.900108224,59985643.0,2400.31,267.0,194212665.0,230575414.0,24852.0,100293.0,2579378.0,35831.0,118632.0,133985.0,54596.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,0.960150046,60041822.0,2399.94,191.0,186059670.0,231611568.0,24811.0,132791.0,2629541.0,36448.0,185675.0,142090.0,60738.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,1.020122023,59971977.0,2400.15,260.0,192797223.0,229619994.0,24858.0,104313.0,2586887.0,36670.0,119419.0,132547.0,54516.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,1.080144926,60022903.0,2400.21,209.0,187189428.0,233281224.0,24830.0,140246.0,2651568.0,37297.0,191112.0,143950.0,61425.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,1.140095614,59950688.0,2399.11,243.0,191383940.0,229351605.0,24843.0,97853.0,2571283.0,36675.0,116848.0,134892.0,54356.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,1.200124205,60028591.0,2400.13,208.0,187184012.0,231702970.0,24839.0,133033.0,2636183.0,37137.0,200172.0,144736.0,62281.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,1.260113252,59989047.0,2400.61,257.0,192135360.0,224111469.0,23122.0,96380.0,2543127.0,170031.0,129296.0,127321.0,52005.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,1.320125911,60012659.0,2398.49,339.0,216695108.0,232117042.0,24901.0,130838.0,2637507.0,37761.0,218548.0,145658.0,61724.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,1.380097798,59971887.0,2400.21,311.0,198448251.0,234817837.0,25120.0,154669.0,2702773.0,183238.0,149913.0,136147.0,54483.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,1.44011508,60017282.0,2400.6,209.0,187546347.0,247815357.0,25648.0,296648.0,2962402.0,39536.0,445611.0,187716.0,76078.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,1.500116519,60001439.0,2399.54,245.0,191273010.0,226203668.0,23351.0,98194.0,2571196.0,36085.0,158355.0,138170.0,56225.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,1.560097113,59980594.0,2399.75,200.0,186938013.0,240774620.0,25223.0,168507.0,2715911.0,109178.0,189310.0,139550.0,59761.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,1.620091047,59993934.0,2399.88,276.0,193484907.0,230726674.0,25011.0,94525.0,2578393.0,34769.0,114148.0,133940.0,54269.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,1.680119161,60028114.0,2400.73,201.0,186943865.0,232002731.0,23940.0,132251.0,2656174.0,67268.0,181870.0,141579.0,60266.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,1.74010772,59988559.0,2399.79,291.0,194438549.0,230661739.0,25001.0,93218.0,2571722.0,33835.0,114308.0,133479.0,54627.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,1.800125741,60018021.0,2400.09,211.0,187694627.0,233469938.0,24958.0,134109.0,2638770.0,37356.0,196728.0,144275.0,61872.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,1.860106198,59980457.0,2399.34,203.0,186827278.0,230595638.0,25021.0,87595.0,2571316.0,149353.0,112583.0,125023.0,51345.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,1.920088576,59982378.0,2399.78,250.0,192381615.0,234823882.0,25045.0,137064.0,2666272.0,34929.0,187808.0,143599.0,61659.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,1.980100345,60011769.0,2400.95,204.0,186788468.0,229232743.0,24529.0,100376.0,2572755.0,144943.0,119429.0,125766.0,51200.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,2.040118553,60018208.0,2399.6,278.0,193015719.0,235857481.0,25068.0,137968.0,2665917.0,34541.0,184626.0,141847.0,61210.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,2.100098545,59979992.0,2400.48,211.0,187485541.0,227991145.0,23333.0,127361.0,2577340.0,33710.0,112083.0,133621.0,54717.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,2.160125516,60026971.0,2400.14,247.0,192183568.0,233396243.0,24949.0,142494.0,2649826.0,141334.0,199917.0,136642.0,59816.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,2.220109658,59984142.0,2398.61,217.0,188018926.0,229865674.0,24890.0,103300.0,2579167.0,35418.0,115381.0,133205.0,54391.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,2.280089714,59980056.0,2400.68,263.0,192669310.0,228767651.0,23337.0,129260.0,2591390.0,140348.0,118364.0,126982.0,51360.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,2.340145753,60056039.0,2400.52,213.0,187751144.0,231829661.0,25110.0,98915.0,2589837.0,31263.0,202893.0,143554.0,62636.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,2.400099009,59953256.0,2399.51,259.0,193334384.0,230586512.0,23541.0,131778.0,2605560.0,29261.0,111107.0,133516.0,54488.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,2.460102081,60003072.0,2399.71,200.0,187033184.0,231425213.0,25069.0,98439.0,2603779.0,117886.0,204564.0,141276.0,60948.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,2.520096828,59994747.0,2400.11,244.0,191470141.0,234043159.0,25083.0,129690.0,2662420.0,30119.0,119774.0,134534.0,55110.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,2.580104401,60007573.0,2399.79,203.0,187318169.0,228004080.0,23554.0,91939.0,2547331.0,104541.0,172240.0,136920.0,58796.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,2.640102198,59997797.0,2399.89,281.0,193978680.0,234249097.0,25110.0,131194.0,2647429.0,30101.0,112906.0,131182.0,55416.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,2.700091328,59989130.0,2399.89,192.0,187388835.0,229325123.0,23708.0,90041.0,2543933.0,31029.0,189657.0,143870.0,62321.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
577.075,2.760114216,60022888.0,2400.52,282.0,194476081.0,233790232.0,25045.0,129982.0,2651104.0,106593.0,114053.0,127054.0,52007.0,hpccg,0,"0,2,4,6,8,10,12,14,16,18"
