time,duration_time,task-clock,context-switches,cpu-cycles,instructions,page-faults,branch-misses,L1-dcache-load-misses,LLC-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,benchmark,socket,core_list
0.050124569,50124569.0,2271.34,516.0,886835190.0,857085624.0,13640.0,393480.0,1638249.0,41414.0,364154.0,342593.0,127995.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.109978326,59853757.0,3360.02,462.0,1947680691.0,2801287381.0,1816.0,10206782.0,3287221.0,235048.0,623136.0,303745.0,99826.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.193966001,83987675.0,2830.03,386.0,1637134633.0,2462773148.0,1471.0,10361278.0,3077921.0,297767.0,453599.0,213461.0,69313.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.265781516,71815515.0,2405.01,367.0,1542444140.0,2557959760.0,3550.0,10644809.0,4118024.0,230365.0,383228.0,173326.0,58543.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.325300966,59519450.0,2296.21,382.0,1552631669.0,2358664682.0,1033.0,10219485.0,2674401.0,211514.0,187182.0,134461.0,36932.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.37962677,54325804.0,2165.64,317.0,1417211036.0,2360756273.0,1028.0,10341430.0,2672092.0,217241.0,348274.0,154880.0,50941.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.433693968,54067198.0,2239.63,388.0,1427302562.0,2353841790.0,1022.0,10424206.0,2596240.0,214193.0,255640.0,145603.0,43787.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.491363893,57669925.0,5378.11,649.0,2900339952.0,2351468465.0,1023.0,10552250.0,2639866.0,218012.0,238668.0,143664.0,41692.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.649794724,158430831.0,5045.05,729.0,3774456688.0,2344640844.0,1022.0,10614799.0,2623616.0,215268.0,364715.0,162751.0,57270.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.758266178,108471454.0,2656.68,447.0,1925290612.0,2331196371.0,1028.0,10635041.0,2574044.0,345281.0,405934.0,216957.0,62873.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.817761243,59495065.0,2335.3,349.0,1485266901.0,2290269973.0,1024.0,10630220.0,2655454.0,281690.0,343936.0,208823.0,67777.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.877826805,60065562.0,2285.25,394.0,1562042960.0,2382087797.0,1027.0,10671647.0,2651773.0,232626.0,580112.0,181695.0,70031.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.932566246,54739441.0,2156.77,328.0,1430510103.0,2323939286.0,1022.0,10657792.0,2644555.0,211719.0,222277.0,135787.0,39277.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.985765829,53199583.0,2193.72,365.0,1411143782.0,2329463465.0,1024.0,10689910.0,2679575.0,214047.0,272192.0,130640.0,41276.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1.008187867,22422038.0,826.83,272.0,471745654.0,2323188802.0,1067.0,10724533.0,2726833.0,217097.0,387388.0,172549.0,60632.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
