solo_time,time,duration_time,task-clock,context-switches,cpu-cycles,instructions,page-faults,branch-misses,L1-dcache-load-misses,LLC-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,benchmark,socket,core_list
26.009,0.050121259,50121259.0,2116.08,237.0,42876458.0,37051957.0,940.0,267455.0,520556.0,36594.0,327650.0,49188.0,14386.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,0.103684603,53563344.0,2224.95,416.0,87765189.0,115772872.0,639.0,639097.0,1308837.0,55214.0,644870.0,86056.0,28225.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,0.159393814,55709211.0,2149.03,383.0,114795493.0,98916137.0,3859.0,537278.0,1986097.0,43754.0,871500.0,116099.0,43214.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,0.21302437,53630556.0,2142.86,712.0,35538366.0,10193822.0,63.0,99372.0,161520.0,7732.0,147431.0,15556.0,5068.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,0.266643974,53619604.0,2144.7,832.0,20175989.0,10322042.0,26.0,113580.0,187215.0,9056.0,253331.0,27605.0,13368.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,0.320269585,53625611.0,2145.44,798.0,16211893.0,8184189.0,0.0,91476.0,134264.0,6415.0,158878.0,16492.0,6070.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,0.373887496,53617911.0,2507.3,867.0,32759566.0,40057179.0,1226.0,231568.0,628554.0,19284.0,433343.0,58826.0,23627.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,0.436500303,62612807.0,2360.01,297.0,166854249.0,128514426.0,15089.0,144526.0,2472565.0,136445.0,252788.0,149605.0,42996.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,0.495472697,58972394.0,2398.78,297.0,196394729.0,280575168.0,8344.0,1264265.0,5520313.0,78085.0,209642.0,86551.0,26065.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,0.555436413,59963716.0,2398.44,228.0,188504715.0,336055112.0,3284.0,1830982.0,6146854.0,16508.0,199855.0,45390.0,17199.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,0.615378543,59942130.0,2399.65,296.0,193688560.0,336470179.0,3293.0,1848198.0,6200738.0,18831.0,205940.0,44718.0,19315.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,0.67537028,59991737.0,2400.74,185.0,185879777.0,359155771.0,3918.0,1935553.0,6414667.0,13937.0,113234.0,33913.0,10558.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,0.735367853,59997573.0,2402.68,241.0,191072910.0,316005302.0,3571.0,1583245.0,3977154.0,45866.0,108839.0,37603.0,7355.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,0.795503401,60135548.0,2399.24,250.0,189863453.0,260156888.0,60.0,1337081.0,2820876.0,69211.0,198762.0,41232.0,12848.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,0.855463712,59960311.0,2399.89,271.0,194348168.0,245719332.0,198.0,1287268.0,2856500.0,70892.0,121608.0,33623.0,6107.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,0.915472392,60008680.0,2400.15,198.0,186719737.0,242347342.0,0.0,1236556.0,2774403.0,69023.0,130003.0,34370.0,6901.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,0.975468034,59995642.0,2399.75,262.0,192304812.0,245109173.0,6.0,1264958.0,2825359.0,71126.0,156944.0,37337.0,9081.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,1.035454778,59986744.0,2400.2,192.0,186088541.0,242251445.0,0.0,1231592.0,2763390.0,70571.0,176423.0,39779.0,11024.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,1.09546351,60008732.0,2400.43,281.0,193315724.0,245769125.0,14.0,1273420.0,2837884.0,68467.0,95821.0,29986.0,3811.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,1.155465529,60002019.0,2400.08,200.0,186704853.0,242279243.0,0.0,1230137.0,2763135.0,70167.0,128002.0,34060.0,7184.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,1.215475917,60010388.0,2399.74,191.0,185976949.0,244092903.0,46.0,1286854.0,2820207.0,69534.0,97958.0,30102.0,3829.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,1.275456558,59980641.0,2400.79,253.0,192348879.0,237625447.0,0.0,1338685.0,2726914.0,70837.0,207913.0,44460.0,13203.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,1.335491548,60034990.0,2399.65,205.0,186799226.0,227571730.0,4218.0,1326544.0,2853343.0,110809.0,130416.0,72102.0,13368.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,1.395472804,59981256.0,2399.9,264.0,192855209.0,201897421.0,11866.0,1123981.0,2840363.0,91977.0,164742.0,136293.0,34168.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,1.455472855,60000051.0,2400.04,195.0,186068470.0,228732079.0,238.0,1481229.0,2656106.0,68622.0,106435.0,31907.0,4559.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,1.515467832,59994977.0,2399.33,255.0,192434705.0,231617699.0,53.0,1546946.0,2707149.0,66561.0,189766.0,41269.0,11979.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,1.575449748,59981916.0,2400.77,207.0,187011012.0,225675322.0,0.0,1557137.0,2205415.0,68204.0,106221.0,30705.0,4402.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,1.635473801,60024053.0,2400.48,256.0,192539749.0,229358199.0,2.0,1568760.0,2687563.0,57976.0,190626.0,39919.0,11254.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,1.695479761,60005960.0,2399.19,194.0,186198146.0,224720277.0,0.0,1557111.0,2604900.0,64627.0,103418.0,31046.0,5245.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,1.755433733,59953972.0,2400.23,252.0,191848991.0,254174694.0,1757.0,1834013.0,3151219.0,65464.0,98162.0,29647.0,4188.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,1.815453281,60019548.0,2400.91,223.0,187815203.0,224369803.0,0.0,1609768.0,2636730.0,66610.0,167569.0,39247.0,10650.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,1.875500293,60047012.0,2399.3,240.0,191133741.0,225749996.0,33.0,1632472.0,2677153.0,65354.0,87456.0,28583.0,3679.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,1.935459116,59958823.0,2400.9,215.0,187298303.0,222720122.0,0.0,1592895.0,2590388.0,66698.0,186357.0,41225.0,12225.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,1.995483535,60024419.0,2399.78,256.0,191942285.0,261108651.0,2549.0,1555179.0,3610592.0,120728.0,756636.0,131498.0,52762.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,2.055472554,59989019.0,2515.94,298.0,244197631.0,362192477.0,0.0,2342837.0,3527991.0,15130.0,258984.0,40441.0,12701.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,2.124527783,69055229.0,2762.79,403.0,267094614.0,361101559.0,2.0,2428842.0,3633721.0,10547.0,139224.0,18878.0,7997.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,2.187394835,62867052.0,2398.69,218.0,188218041.0,362176587.0,0.0,2343323.0,3462546.0,15428.0,164719.0,21922.0,9630.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,2.247334093,59939258.0,2402.88,266.0,193970393.0,258777956.0,0.0,1880257.0,2293322.0,48291.0,110421.0,26909.0,5496.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,2.307459032,60124939.0,2399.48,209.0,186537153.0,224230539.0,0.0,1578955.0,2207267.0,70810.0,146663.0,34993.0,9301.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,2.367456952,59997920.0,2399.49,261.0,192929382.0,228643630.0,2.0,1621454.0,2279656.0,67949.0,97787.0,28878.0,4400.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,2.427419854,59962902.0,2401.0,208.0,187399212.0,224679035.0,0.0,1570642.0,2192512.0,69540.0,149678.0,35517.0,9772.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,2.487474002,60054148.0,2399.79,245.0,191272996.0,225340701.0,0.0,1553667.0,2195590.0,69032.0,91594.0,28114.0,3801.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,2.547485722,60011720.0,2399.72,207.0,186944215.0,230148545.0,3.0,1597563.0,2299676.0,71236.0,187588.0,42865.0,13588.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,2.607464527,59978805.0,2400.48,270.0,192731494.0,225063192.0,0.0,1556871.0,2205349.0,70396.0,97462.0,28835.0,4298.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,2.667454713,59990186.0,2400.36,227.0,188489321.0,228658256.0,7.0,1600248.0,2297785.0,70484.0,192471.0,40439.0,12719.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,2.727477415,60022702.0,2399.6,331.0,194816629.0,224199946.0,0.0,1550373.0,2200852.0,69239.0,100368.0,29125.0,4797.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,2.787466256,59988841.0,2400.47,215.0,187805821.0,227665070.0,0.0,1588521.0,2257775.0,72211.0,128521.0,32745.0,7183.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,2.847481363,60015107.0,2398.98,250.0,192184013.0,224118756.0,0.0,1589028.0,1963342.0,69817.0,150656.0,34017.0,7997.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,2.907440757,59959394.0,2400.77,202.0,186897795.0,226556984.0,0.0,1616949.0,2066316.0,70485.0,149833.0,35344.0,9568.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,2.967468493,60027736.0,2400.01,260.0,192389396.0,224682761.0,0.0,1559227.0,2195747.0,55366.0,118478.0,29893.0,5770.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,3.027469272,60000779.0,2400.18,192.0,186186180.0,227090451.0,2.0,1606411.0,2260945.0,71065.0,325612.0,68943.0,22280.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,3.08748061,60011338.0,2399.88,288.0,197399643.0,209350282.0,0.0,1466845.0,2094191.0,74511.0,285805.0,62013.0,16114.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,3.147444641,59964031.0,2399.88,381.0,219588266.0,241597885.0,0.0,1718350.0,2380756.0,75180.0,200938.0,43968.0,13657.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,3.207457674,60013033.0,2400.76,222.0,189462123.0,223601992.0,0.0,1588052.0,2198849.0,69004.0,98801.0,28576.0,3897.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,3.267476657,60018983.0,2399.93,300.0,194252841.0,237161225.0,1.0,1653431.0,2313905.0,68205.0,115360.0,31449.0,6676.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,3.327482834,60006177.0,2398.75,224.0,187502340.0,224465441.0,1.0,1603651.0,2212559.0,68820.0,85205.0,27482.0,3623.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,3.387443584,59960750.0,2401.0,256.0,192028289.0,200980424.0,10146.0,1313157.0,2263809.0,123086.0,133230.0,125231.0,27575.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,3.447469245,60025661.0,2400.37,196.0,186344671.0,207529207.0,5942.0,1445599.0,2010757.0,89198.0,96334.0,76311.0,15644.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,3.507469049,59999804.0,2399.8,253.0,192874421.0,225857803.0,2.0,1674383.0,2041871.0,69723.0,113992.0,32517.0,7132.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,3.567473354,60004305.0,2399.78,209.0,187111829.0,327551658.0,2534.0,1902852.0,4007906.0,18734.0,156743.0,35884.0,12295.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,3.627460885,59987531.0,2397.23,267.0,192512972.0,359214532.0,1.0,2412705.0,3555449.0,13990.0,178734.0,22772.0,11347.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
26.009,3.687335085,59874200.0,2401.5,203.0,186915738.0,358425630.0,0.0,2377608.0,3527294.0,11695.0,126299.0,17434.0,6067.0,miniMD,0,"0,2,4,6,8,10,12,14,16,18"
