solo_time,time,duration_time,task-clock,context-switches,cpu-cycles,instructions,page-faults,branch-misses,L1-dcache-load-misses,LLC-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,benchmark,socket,core_list
25.979,0.050137185,50137185.0,2125.26,266.0,48295598.0,38425102.0,941.0,277836.0,519137.0,33077.0,354008.0,49257.0,17313.0,miniMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
25.979,0.103903516,53766331.0,2194.51,374.0,91418872.0,117500938.0,640.0,662623.0,1327451.0,51566.0,590939.0,76481.0,20842.0,miniMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
25.979,0.158830522,54927006.0,2190.46,384.0,136366221.0,105570437.0,3855.0,517203.0,2004029.0,44690.0,848340.0,110309.0,48382.0,miniMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
25.979,0.214309988,55479466.0,2179.08,709.0,25794396.0,9737926.0,62.0,93078.0,160772.0,10830.0,186429.0,21403.0,7425.0,miniMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
25.979,0.268019924,53709936.0,2146.57,826.0,18938988.0,9963242.0,27.0,106321.0,175086.0,9529.0,248614.0,25736.0,12467.0,miniMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
25.979,0.321651323,53631399.0,2145.49,769.0,13533921.0,6692037.0,0.0,68867.0,92132.0,6986.0,140597.0,15131.0,4446.0,miniMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
25.979,0.375300443,53649120.0,2227.27,787.0,24752292.0,48672279.0,1462.0,235251.0,662683.0,16760.0,345190.0,39649.0,17758.0,miniMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
25.979,0.430980359,55679916.0,2395.47,329.0,169200327.0,129608153.0,16204.0,150741.0,2804183.0,101101.0,236228.0,116169.0,36188.0,miniMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
25.979,0.49080587,59825511.0,2397.61,398.0,197711813.0,292007084.0,7220.0,1375280.0,5530321.0,115452.0,262623.0,103126.0,36951.0,miniMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
25.979,0.550702268,59896398.0,2399.42,206.0,186982282.0,334633086.0,3297.0,1805093.0,6049607.0,15700.0,140172.0,31528.0,12641.0,miniMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
25.979,0.610673912,59971644.0,2400.63,242.0,190926539.0,339058590.0,3312.0,1845118.0,6124803.0,18882.0,185660.0,38529.0,17067.0,miniMD_custom1,0,"0,2,4,6,8,10,12,14,16,18"
