solo_time,time,duration_time,task-clock,context-switches,cpu-cycles,instructions,page-faults,branch-misses,L1-dcache-load-misses,LLC-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,benchmark,socket,core_list
10.516,0.050125587,50125587.0,2170.75,486.0,867604145.0,524043001.0,22549.0,602144.0,2345604.0,108941.0,380446.0,1634963.0,559829.0,miniQMC_custom1,0,"0,2,4,6,8,10,12,14,16,18"
10.516,0.109149386,59023799.0,2799.83,19056.0,1715346423.0,941664088.0,15977.0,893157.0,3890051.0,332141.0,403231.0,2414312.0,758546.0,miniQMC_custom1,0,"0,2,4,6,8,10,12,14,16,18"
10.516,0.176450841,67301455.0,2449.48,72362.0,1613739612.0,1008553519.0,11720.0,1769415.0,9422197.0,828426.0,842917.0,2262091.0,672149.0,miniQMC_custom1,0,"0,2,4,6,8,10,12,14,16,18"
10.516,0.236569538,60118697.0,2356.9,97469.0,1533654560.0,1082160687.0,137.0,2220714.0,5597001.0,244818.0,462326.0,2309868.0,902816.0,miniQMC_custom1,0,"0,2,4,6,8,10,12,14,16,18"
10.516,0.295991687,59422149.0,2156.49,107566.0,1440561918.0,1015871560.0,33.0,2111269.0,4099830.0,45073.0,308630.0,2035298.0,848695.0,miniQMC_custom1,0,"0,2,4,6,8,10,12,14,16,18"
10.516,0.348701887,52710200.0,2468.67,206584.0,1585465233.0,1178300637.0,0.0,2139850.0,3857433.0,26361.0,297475.0,1888846.0,813229.0,miniQMC_custom1,0,"0,2,4,6,8,10,12,14,16,18"
10.516,0.41209329,63391403.0,2163.61,175314.0,1457367750.0,930374153.0,1.0,1782078.0,2936920.0,42464.0,438924.0,2259746.0,1003428.0,miniQMC_custom1,0,"0,2,4,6,8,10,12,14,16,18"
10.516,0.464483934,52390644.0,2098.83,126835.0,1374493575.0,870371667.0,0.0,1576440.0,3156850.0,162723.0,460188.0,1979360.0,865093.0,miniQMC_custom1,0,"0,2,4,6,8,10,12,14,16,18"
10.516,0.516914077,52430143.0,2300.22,185994.0,1469085957.0,928374208.0,31.0,1793688.0,3834597.0,663513.0,453903.0,1789541.0,733702.0,miniQMC_custom1,0,"0,2,4,6,8,10,12,14,16,18"
10.516,0.575785257,58871180.0,2173.01,99632.0,1450845996.0,935944864.0,31.0,1463713.0,4081117.0,263791.0,326297.0,1889881.0,690756.0,miniQMC_custom1,0,"0,2,4,6,8,10,12,14,16,18"
10.516,0.628939883,53154626.0,2668.39,112161.0,1640181407.0,910942297.0,0.0,1766321.0,2345934.0,43201.0,337680.0,2007773.0,720925.0,miniQMC_custom1,0,"0,2,4,6,8,10,12,14,16,18"
10.516,0.699554004,70614121.0,2375.34,152460.0,1633725790.0,987809890.0,44.0,2195237.0,4084834.0,25213.0,196849.0,2218189.0,790530.0,miniQMC_custom1,0,"0,2,4,6,8,10,12,14,16,18"
10.516,0.755892347,56338343.0,2706.14,183249.0,1649347962.0,980292029.0,52.0,2032460.0,5100902.0,37312.0,415022.0,1980022.0,783486.0,miniQMC_custom1,0,"0,2,4,6,8,10,12,14,16,18"
10.516,0.827901028,72008681.0,2654.39,147188.0,1778173992.0,824395993.0,48.0,1206952.0,4191308.0,42441.0,270751.0,1938622.0,615531.0,miniQMC_custom1,0,"0,2,4,6,8,10,12,14,16,18"
10.516,0.892796823,64895795.0,2252.84,106954.0,1561476150.0,772458079.0,0.0,1255274.0,3896534.0,165472.0,431907.0,2114383.0,793967.0,miniQMC_custom1,0,"0,2,4,6,8,10,12,14,16,18"
10.516,0.945226864,52430041.0,2098.22,69092.0,1383503139.0,977255331.0,26.0,1206280.0,3325807.0,47653.0,332255.0,2241459.0,777818.0,miniQMC_custom1,0,"0,2,4,6,8,10,12,14,16,18"
10.516,0.997635359,52408495.0,2093.25,97934.0,1447319443.0,864320093.0,2.0,1111584.0,3838802.0,670957.0,875243.0,2102442.0,739697.0,miniQMC_custom1,0,"0,2,4,6,8,10,12,14,16,18"
10.516,1.049991488,52356129.0,2094.6,128704.0,1372378818.0,912660229.0,3.0,1516219.0,3183147.0,458871.0,492963.0,2380481.0,666905.0,miniQMC_custom1,0,"0,2,4,6,8,10,12,14,16,18"
