solo_time,time,duration_time,task-clock,context-switches,cpu-cycles,instructions,page-faults,branch-misses,L1-dcache-load-misses,LLC-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,benchmark,socket,core_list
434.965,0.050118654,50118654.0,2171.44,483.0,957181837.0,1003972424.0,7242.0,415666.0,968170.0,64895.0,512942.0,268574.0,117836.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
434.965,0.106274503,56155849.0,2243.43,376.0,1470023751.0,1518100532.0,24547.0,335511.0,2119360.0,63680.0,270868.0,152219.0,76031.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
434.965,0.162239644,55965141.0,2413.84,359.0,1497722549.0,1556084162.0,25659.0,314400.0,2136812.0,51504.0,207696.0,136744.0,65751.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
434.965,0.226173987,63934343.0,2478.4,260.0,1176404866.0,1115145691.0,27014.0,285277.0,2308187.0,52399.0,314147.0,153826.0,74410.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
434.965,0.286591688,60417701.0,2410.51,291.0,195581854.0,132798631.0,29246.0,237602.0,2594749.0,49884.0,142352.0,127172.0,61312.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
434.965,0.346757152,60165464.0,2403.91,200.0,186715678.0,120006636.0,28164.0,146452.0,2371763.0,46762.0,164116.0,128608.0,66546.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
434.965,0.406704137,59946985.0,2398.79,194.0,186376745.0,117894096.0,28325.0,103064.0,2311659.0,48088.0,103994.0,120819.0,60348.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
434.965,0.466751649,60047512.0,2401.94,250.0,192001353.0,120354169.0,28403.0,129528.0,2364059.0,47018.0,162885.0,129026.0,66801.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
434.965,0.526751714,60000065.0,2398.43,222.0,187018987.0,183709690.0,28344.0,234222.0,2768324.0,47773.0,132584.0,123851.0,62945.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
434.965,0.586725869,59974155.0,2399.24,236.0,190602929.0,121041210.0,28361.0,146870.0,2376128.0,47459.0,177530.0,127991.0,67291.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
434.965,0.646712643,59986774.0,2398.81,243.0,187751774.0,118108773.0,28412.0,96460.0,2291962.0,47435.0,108967.0,118616.0,60364.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
434.965,0.706690153,59977510.0,2400.21,256.0,192429749.0,120479918.0,28410.0,127303.0,2335279.0,45575.0,163573.0,127879.0,67104.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
434.965,0.766701671,60011518.0,2399.97,202.0,186880493.0,117948860.0,28392.0,93796.0,2271780.0,47063.0,109071.0,118717.0,60658.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
434.965,0.826714008,60012337.0,2400.71,229.0,190629650.0,120504550.0,28418.0,128322.0,2338476.0,47522.0,173414.0,131087.0,66810.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
434.965,0.886706265,59992257.0,2399.52,189.0,185977194.0,118096738.0,28399.0,96734.0,2285144.0,46853.0,118252.0,120727.0,60684.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
434.965,0.94672508,60018815.0,2400.4,232.0,190623928.0,120520042.0,28392.0,131297.0,2345497.0,154147.0,168464.0,122728.0,62953.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
434.965,1.006693929,59968849.0,2399.62,195.0,186359814.0,119135256.0,28377.0,109794.0,2324737.0,48738.0,148574.0,125834.0,62758.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
434.965,1.066712123,60018194.0,2401.24,233.0,190380948.0,120457171.0,28363.0,133588.0,2347963.0,132688.0,169376.0,123743.0,63418.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
434.965,1.126751693,60039570.0,2400.64,218.0,187291698.0,117585266.0,28341.0,90089.0,2298031.0,44783.0,104062.0,119765.0,60455.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
434.965,1.186711565,59959872.0,2398.9,260.0,192077895.0,125166252.0,26648.0,133215.0,2327961.0,45370.0,179675.0,127929.0,67153.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
434.965,1.246707226,59995661.0,2399.42,197.0,186478808.0,118346701.0,28507.0,91254.0,2275646.0,130547.0,100942.0,113464.0,57500.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
434.965,1.306715443,60008217.0,2400.65,269.0,192602043.0,125325831.0,26977.0,129702.0,2314622.0,45439.0,162310.0,130003.0,66663.0,simplemoc,0,"0,2,4,6,8,10,12,14,16,18"
