solo_time,time,duration_time,task-clock,context-switches,cpu-cycles,instructions,page-faults,branch-misses,L1-dcache-load-misses,LLC-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,benchmark,socket,core_list
435.222,0.050123452,50123452.0,2178.16,511.0,969063000.0,976111501.0,6481.0,413457.0,864985.0,26188.0,357239.0,303848.0,99728.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,0.105669227,55545775.0,2318.77,372.0,1465975196.0,1475737468.0,24080.0,339196.0,2136495.0,70742.0,194129.0,498643.0,168981.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,0.165528276,59859049.0,2396.49,318.0,1559779243.0,1551353084.0,25056.0,310470.0,2167579.0,75236.0,134343.0,519614.0,177308.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,0.22548399,59955714.0,2408.88,324.0,1126321862.0,744223259.0,26694.0,173161.0,2256810.0,137571.0,609082.0,437791.0,169770.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,0.286007842,60523852.0,2409.73,245.0,197924490.0,115323795.0,28004.0,81735.0,2292478.0,59754.0,413840.0,176779.0,81230.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,0.346006364,59998522.0,2401.07,271.0,195578029.0,142109948.0,27952.0,132020.0,2349129.0,49543.0,134615.0,122781.0,59845.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,0.405987103,59980739.0,2399.89,300.0,196087333.0,115926020.0,28075.0,85904.0,2289083.0,47815.0,130107.0,123700.0,61453.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,0.466021821,60034718.0,2400.59,199.0,188146548.0,115696332.0,28085.0,81474.0,2297458.0,48039.0,117871.0,121527.0,60487.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,0.526021826,60000005.0,2400.03,178.0,185264090.0,115686729.0,28077.0,81436.0,2290068.0,46900.0,95334.0,118510.0,59185.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,0.586026011,60004185.0,2400.05,191.0,185892777.0,209229740.0,29958.0,501226.0,3565062.0,47262.0,100420.0,119915.0,59860.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,0.646022981,59996970.0,2399.31,190.0,185954858.0,117269852.0,28041.0,128893.0,2340026.0,47308.0,110920.0,118865.0,60260.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,0.706011151,59988170.0,2399.77,179.0,185368399.0,117822015.0,28425.0,93637.0,2325703.0,49755.0,136404.0,120164.0,63479.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,0.7660134,60002249.0,2401.08,175.0,184965449.0,117434309.0,28296.0,97739.0,2317389.0,47677.0,127554.0,119472.0,62741.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,0.826032196,60018796.0,2400.78,188.0,185960263.0,117423620.0,28360.0,91973.0,2309894.0,49652.0,131932.0,120842.0,62315.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,0.886041077,60008881.0,2399.44,179.0,185084263.0,325165481.0,28765.0,654367.0,3583874.0,45584.0,85254.0,114620.0,59824.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,0.94602764,59986563.0,2483.06,195.0,200869553.0,119094078.0,28324.0,118997.0,2358457.0,48249.0,99990.0,116835.0,60182.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,1.013152698,67125058.0,2455.65,532.0,383713760.0,120140400.0,26393.0,96463.0,2311327.0,180368.0,105830.0,110295.0,56483.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,1.066452381,53299683.0,2134.4,348.0,183703962.0,119268018.0,28314.0,119241.0,2357686.0,46530.0,92698.0,115300.0,59860.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,1.119929985,53477604.0,2138.33,228.0,191287245.0,117399230.0,28378.0,84789.0,2291746.0,46256.0,91531.0,112715.0,59837.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,1.173353341,53423356.0,2296.31,213.0,193364350.0,123155965.0,28338.0,114772.0,2342110.0,45970.0,100062.0,113929.0,60211.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,1.234008394,60655053.0,2411.08,215.0,188499003.0,118187369.0,28314.0,99602.0,2298658.0,47850.0,155144.0,125888.0,64508.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,1.294024245,60015851.0,2400.58,236.0,188680467.0,120711351.0,26584.0,85081.0,2262630.0,163853.0,404677.0,162058.0,81041.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,1.354013575,59989330.0,2400.0,252.0,192223371.0,117313603.0,28311.0,90010.0,2288855.0,46616.0,129469.0,116907.0,60759.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,1.414021849,60008274.0,2400.18,254.0,192109571.0,120803612.0,26617.0,82184.0,2254241.0,152920.0,121719.0,110640.0,57115.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,1.474023534,60001685.0,2400.21,217.0,187575759.0,117557971.0,28345.0,89422.0,2288051.0,46044.0,89353.0,113377.0,59900.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,1.534028309,60004775.0,2399.83,174.0,185150068.0,131413971.0,28449.0,126878.0,2360658.0,47044.0,99264.0,113923.0,60292.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,1.594018037,59989728.0,2399.58,187.0,185939429.0,147281861.0,28319.0,289067.0,2725157.0,146297.0,97770.0,108324.0,56908.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,1.654025044,60007007.0,2400.34,189.0,186362732.0,120469908.0,28506.0,142328.0,2377923.0,44630.0,93586.0,111287.0,60060.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,1.71402851,60003466.0,2400.17,195.0,185982753.0,122156759.0,26856.0,98373.0,2276194.0,132026.0,114775.0,110340.0,59283.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,1.774037867,60009357.0,2400.09,182.0,185239900.0,110199485.0,26341.0,104085.0,2172259.0,45890.0,153987.0,120522.0,65054.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,1.834026291,59988424.0,2399.79,184.0,185759315.0,125330901.0,30271.0,93134.0,2424507.0,46021.0,99012.0,112698.0,60167.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,1.894015978,59989687.0,2399.73,212.0,186815043.0,122682485.0,27006.0,86915.0,2271721.0,130685.0,88746.0,107024.0,56909.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,1.954019241,60003263.0,2399.91,176.0,185097061.0,119832445.0,28502.0,111338.0,2329806.0,45067.0,116128.0,115969.0,61631.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,2.014017858,59998617.0,2398.44,314.0,213650697.0,124672885.0,26947.0,117127.0,2316456.0,130072.0,93742.0,107256.0,57039.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,2.073987783,59969925.0,2400.77,343.0,202266355.0,179252796.0,16404.0,161258.0,1395119.0,21928.0,158377.0,44030.0,19796.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,2.134020116,60032333.0,2398.9,213.0,188174668.0,245831594.0,2892.0,194441.0,314564.0,13406.0,137353.0,25187.0,7499.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,2.193960336,59940220.0,2400.58,267.0,190586264.0,244386044.0,2944.0,216968.0,462799.0,101105.0,176392.0,43179.0,16785.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,2.254008803,60048467.0,5040.61,518.0,2116224723.0,3958020486.0,4258.0,1243966.0,31881039.0,602773.0,333291.0,3948269.0,19622.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,2.397556983,143548180.0,5760.0,499.0,3633989137.0,7759809384.0,1343.0,2235590.0,66578862.0,812247.0,254542.0,6482035.0,9333.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,2.541559668,144002685.0,5759.94,446.0,3746444492.0,7605916381.0,1525.0,2170945.0,67069627.0,827467.0,300603.0,6815752.0,10165.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,2.685554156,143994488.0,5759.65,489.0,3751893122.0,7687693454.0,1680.0,2184274.0,67848914.0,805608.0,325018.0,6841846.0,13202.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,2.829550526,143996370.0,5759.52,448.0,3746423854.0,7950630142.0,1795.0,2261888.0,70180045.0,816972.0,275267.0,6818367.0,12652.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,2.973511212,143960686.0,5760.05,449.0,3745427898.0,7947136357.0,1952.0,2317717.0,70145214.0,855883.0,264081.0,6816134.0,10026.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,3.117531507,144020295.0,5760.5,529.0,3747725266.0,7944529317.0,2060.0,2265852.0,70259348.0,748991.0,231992.0,6449112.0,15828.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,3.261564215,144032708.0,5759.49,505.0,3750118064.0,7944103024.0,3520.0,2257752.0,70156246.0,736277.0,245139.0,6698650.0,15310.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,3.405523445,143959230.0,5759.88,534.0,3754093234.0,7926657987.0,6096.0,2264412.0,70033609.0,734715.0,248912.0,6836526.0,11961.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,3.549502288,143978843.0,5760.63,477.0,3748006555.0,7952268086.0,2111.0,2286928.0,70029280.0,739220.0,234521.0,6830879.0,9627.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,3.693548781,144046493.0,5846.71,461.0,3760843963.0,7954132769.0,2061.0,2278313.0,70152249.0,755093.0,319965.0,6843657.0,16826.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,3.841481863,147933082.0,5768.79,522.0,3772175526.0,7958236769.0,2071.0,2301095.0,70268291.0,722424.0,233224.0,6829915.0,9562.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,3.985527815,144045952.0,5759.83,442.0,3746018819.0,7957880241.0,2137.0,2305615.0,70213003.0,729036.0,255418.0,6830605.0,9913.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,4.129515027,143987212.0,5760.31,475.0,3747516058.0,7956979397.0,2082.0,2324836.0,70238766.0,729439.0,339463.0,6836938.0,17490.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,4.273528227,144013200.0,5759.79,550.0,3753932894.0,7953993443.0,2056.0,2270462.0,70160887.0,740986.0,244365.0,6841880.0,10008.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,4.417531456,144003229.0,5751.8,477.0,3739529158.0,7955092216.0,2029.0,2278416.0,70282799.0,763718.0,294920.0,6835079.0,11529.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,4.561514088,143982632.0,5768.13,444.0,3756656900.0,7955337264.0,2070.0,2268866.0,70263638.0,755825.0,322686.0,6841378.0,16149.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,4.705526301,144012213.0,5760.02,435.0,3745661851.0,7954963830.0,2031.0,2268550.0,70310469.0,734460.0,261621.0,6835693.0,11542.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,4.849525976,143999675.0,5759.93,422.0,3745161375.0,7958112072.0,2044.0,2299607.0,70265591.0,731632.0,244336.0,6830888.0,9558.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,4.993527595,144001619.0,5759.93,457.0,3746787830.0,7954870676.0,2022.0,2272027.0,70247001.0,778001.0,1002653.0,6940424.0,53292.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
435.222,5.13753192,144004325.0,5760.04,449.0,3746383702.0,7951812038.0,2061.0,2260210.0,70054989.0,736632.0,341097.0,6839153.0,12817.0,simplemoc_custom1,0,"0,2,4,6,8,10,12,14,16,18"
