time,duration_time,task-clock,context-switches,cpu-cycles,L1-dcache-load-misses,branch-misses,instructions,page-faults,L1-icache-load-misses,LLC-load-misses,dTLB-load-misses,iTLB-load-misses,benchmark,socket,core_list
0.0501,50124196.0,2337.59,471.0,482272989.0,1744161.0,344336.0,890635517.0,13631.0,349087.0,62795.0,211159.0,123880.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.1093,,,,,,,,,276773.0,158486.0,123137.0,49982.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.1112,,,,,2898564.0,10240602.0,2676902804.0,1140.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.114,63893001.0,3780.87,409.0,2159754664.0,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.1694,,,,,,,,,255302.0,290140.0,113790.0,40611.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.1717,,,,,2667884.0,10239688.0,2394254573.0,1039.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.2091,95113140.0,2952.23,475.0,1770912561.0,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.228,,,,,2658994.0,10161558.0,2367656266.0,1069.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.2302,,,,,,,,,305908.0,263568.0,118414.0,47639.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.2815,72340645.0,2505.95,332.0,1589344922.0,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.284,,,,,2578912.0,10147760.0,2361402494.0,1023.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.2904,,,,,,,,,232800.0,224259.0,114118.0,48630.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.3401,,,,,2716972.0,10365959.0,2360010371.0,1027.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.3415,60061727.0,2352.69,344.0,1502378068.0,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.3467,,,,,,,,,259921.0,218398.0,103260.0,42269.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.3963,,,,,2683043.0,10450766.0,2371153588.0,1049.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
0.4014,59893011.0,2336.91,351.0,1544075516.0,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
